ID,EXP_Pre_Mean,EXP_Pre_SD,EXP_Post_Mean,EXP_Post_SD,EXP_N,CON_Pre_Mean,CON_Pre_SD,CON_Post_Mean,CON_Post_SD,CON_N
McDermott et al. 2009,5.54,5.67,5.39,7.33,37,5.97,6.59,5.28,4.95,28
Vona et al 2009,4.5,2.6,9.9,2.5,52,4.3,2.3,5.1,2.5,50
Belardinelli et al. 2006 a,3.96,1.04,6.21,1.04,15,4.18,0.93,4.18,1,12
Belardinelli et al. 2006 b,3.96,1.04,6.39,0.96,15,4,0.82,4,0.82,10
Belardinelli et al. 2005,2.29,1.13,5.04,1.7,30,1.96,0.61,1.77,0.64,29
Belardinelli et al. 2008 a,2.6,1.3,5.2,1.5,44,2.19,0.93,2.38,0.86,42
Belardinelli et al. 2008 b,2.2,1.4,5,1.5,44,2.19,0.93,2.38,0.86,42
Benda et al. 2016 a,5.3,2.6,4.7,2.5,10,5.3,2,5.4,2.4,9
Benda et al. 2016 b,5.3,2.5,4.8,3,10,5.3,2,5.4,2.4,9
Eleuteri et al. 2013,5.1,2.21,7,1.58,10,7.7,4.64,8.2,4.97,11
Guazzi et al. 2004,4.87,1.04,8.13,1.64,16,4.52,0.93,4.02,0.85,15
Kitzman et al. 2013,4,2,3.8,3,24,4.7,3.5,4.3,3.5,30
Turri-Silva et al. 2021 a,5.37,2.59,5.01,3.93,5,4.62,2.6,5.51,3.61,5
Van Craenenbroeck et al. 2010,5.1,1.37,6.5,2.29,21,5.9,2.47,5.2,1.24,17
Wislof et al. 2007 a,3.51,1.87,11.57,1.34,9,3.81,2.99,3.43,3.43,9
Wislof et al. 2007 b,3.82,2.32,8.38,1.63,9,3.81,2.99,3.43,3.43,9
Vona et al. 2004,1.66,4.11,9.39,4.87,28,2.04,3.4,4.4,3.9,24
Blumenthal et al. 2005,5.3,4.4,5.6,0.45,44,4.9,3.9,4.1,0.48,38
Westhoff et al. 2007,5.6,1.7,7.9,3,24,6.1,2.3,6.3,2.4,27
Sixt et al. 2008,9.1,4.4,12.3,4.3,13,8.7,4.4,8.9,4.6,10
Westhoff et al. 2008,3.5,1.7,3.8,1.4,12,2.9,1.8,2.9,1.4,12
Desch et al. 2010,9.7,4.9,14.1,5.9,14,8.6,4.5,7.5,6.3,12
Herman et al. 2011,8.3,1.3,11.4,1.2,14,5.6,1,5.3,1.7,13
Molmer-Hansen et al. 2012 a,6.5,5.01,7.11,5.1,23,8.01,4.62,8.91,5.2,25
Molmer-Hansen et al. 2012 b,6.49,3.71,10.66,5,25,8.01,4.62,8.91,5.2,25
Berroug et al. 2019,5.6,3.8,5.5,2.7,93,6.1,3.3,5.6,2.7,91
Isaksen et al. 2019,6.28,3.61,9.42,4.09,19,7.15,4.5,6.93,4.5,11
Claes 2020,8.1,7.4,8.9,4.9,60,8,6.4,6.94,5.2,60
Blumenthal et al. 2021,3,2.7,3.5,3.6,52,2.8,3.2,3,2.5,23
Twerenbold et al. 2023,4.9,2.35,4.99,2.01,19,4.35,1.31,4.31,1.15,19
Braith et al. 2008,10,6.1,9.6,6.2,9,10.5,2.8,7.9,5.1,7
Isaksen et al. 2014,6.41,3.44,9.95,3.92,24,7.15,4.5,6.93,4.5,11
Aispuru-Lanche et al. 2024 a,4.9,2.3,7.5,3.83,28,4.93,2.34,5.4,3.2,24
Aispuru-Lanche et al. 2024 b,5.1,2.9,10.66,4.14,28,4.93,2.34,5.4,3.2,24
